# Exposure time (ms): 4
# Camera ROI: ROI(upper_left_x_pixels=1860, upper_left_y_pixels=2040, lower_right_x_pixels=2163, lower_right_y_pixels=2343)
# Real ROI: (10, 45, 45, 35)
# Images averaged: 15
# Time elapsed: 554.9201464653015
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009899878,4.792269e-06,10.153636363636364,44676,8.192861300330577
0.2401173,0.004842446,10.202727272727273,44892,8.169479809565317
0.4907463,0.009711565,10.110681818181819,44487,8.26352706206974
0.7399333,0.01454737,10.087954545454545,44387,8.264224262507259
0.9904197,0.01941262,10.093181818181819,44410,8.28468391763279
1.239874,0.02425304,10.049318181818181,44217,8.35726977264692
1.490003,0.0291107,10.063636363636364,44280,8.351130391078929
1.740473,0.03396574,10.030454545454546,44134,8.391345047821007
1.989875,0.03880527,9.998636363636363,43994,8.419557963243879
2.240186,0.04366641,10.046363636363637,44204,8.407925363231335
2.490734,0.04852823,10.010909090909092,44048,8.36945610161916
2.740039,0.05336476,9.983409090909092,43927,8.447593966124801
2.990494,0.0582192,10.0075,44033,8.442380629594638
3.239833,0.06305522,10.004545454545454,44020,8.374043362477279
3.490234,0.06788447,9.966818181818182,43854,8.406868944047904
3.740937,0.0726729,10.023863636363636,44105,8.398199082398094
3.990032,0.07740148,9.94340909090909,43751,8.480862307982207
4.240493,0.08224348,9.9625,43835,8.403637914227208
4.489882,0.08700699,9.998636363636363,43994,8.378933155710627
4.740199,0.09182216,9.885,43494,8.509280584146545
4.990635,0.09667979,9.930681818181819,43695,8.450410496318206
5.240036,0.1014592,9.985,43934,8.422944670621941
5.490454,0.1062861,9.922272727272727,43658,8.446349197112422
5.740872,0.1111091,9.974772727272727,43889,8.37412987800935
5.990306,0.1160364,9.968181818181819,43860,8.424131720178847
6.240679,0.1207015,9.897045454545454,43547,8.456241392703463
6.489859,0.1255891,9.916136363636364,43631,8.470138264757608
6.740594,0.1303755,9.920681818181817,43651,8.461420871519483
6.991261,0.1352311,9.918181818181818,43640,8.452138249931254
7.240454,0.1400833,9.963863636363635,43841,8.489701323848065
7.491198,0.1448017,9.926136363636363,43675,8.443736044591706
7.740541,0.1495949,9.885,43494,8.466986712920288
7.991265,0.1544503,9.967727272727272,43858,8.40196118818177
8.241908,0.1593435,9.907954545454546,43595,8.492092792424149
8.491275,0.1641624,9.884318181818182,43491,8.469604089816993
8.741735,0.1689469,9.88409090909091,43490,8.42875478926803
8.992278,0.1737562,9.880681818181818,43475,8.56025075176927
9.241734,0.1785927,9.947272727272727,43768,8.482336634518429
9.492466,0.1836152,9.885909090909092,43498,8.49980924343447
9.74184,0.1886625,9.854772727272728,43361,8.556194858347354
9.992323,0.1934242,9.920454545454545,43650,8.44635205022864
10.24284,0.1983439,9.873181818181818,43442,8.50067489739273
10.49225,0.2031538,9.840681818181817,43299,8.471662885058112
10.74296,0.2079344,9.9125,43615,8.49468961586247
10.99234,0.2120621,9.908863636363636,43599,8.483789225085802
11.24305,0.2168213,9.887727272727274,43506,8.463520818760188
11.49354,0.2215939,9.9275,43681,8.460814223920101
11.7428,0.2261919,9.88090909090909,43476,8.548080615317229
11.99349,0.231414,9.865227272727273,43407,8.471477233951836
12.24403,0.2362392,9.91159090909091,43611,8.47247975905338
12.49349,0.2410067,9.852954545454546,43353,8.567013001624224
12.7442,0.2458633,9.875681818181818,43453,8.45115803183767
12.99348,0.2506135,9.927272727272728,43680,8.466427180838291
13.24419,0.2554778,9.853409090909091,43355,8.481533102659064
13.49464,0.2604635,9.892045454545455,43525,8.500734633411499
13.74415,0.2652559,9.935227272727273,43715,8.483338583177924
13.99479,0.2699643,9.851590909090909,43347,8.571087022241157
14.24406,0.2747645,9.861590909090909,43391,8.54551770509168
14.49472,0.2796706,9.841363636363637,43302,8.527642363957295
14.7451,0.2843397,9.834545454545454,43272,8.539093454370327
14.74522,0.2843197,9.901818181818182,43568,8.474425434434444
14.495,0.2795872,9.841818181818182,43304,8.496352682080193
14.24423,0.2745331,9.851136363636364,43345,8.521059223519847
13.99489,0.2697399,9.900681818181818,43563,8.447162954308515
13.74429,0.2648406,9.86,43384,8.551306521365303
13.49485,0.2599568,9.837045454545455,43283,8.564650959350695
13.24442,0.255028,9.885227272727272,43495,8.486814379921269
12.99372,0.2501044,9.840454545454545,43298,8.571471692669766
12.74433,0.2453466,9.884545454545455,43492,8.517348707711193
12.49366,0.2406338,9.845681818181818,43321,8.576361591461673
12.24415,0.2358151,9.835909090909091,43278,8.539180809630784
11.99381,0.2309664,9.894318181818182,43535,8.47056817700844
11.74305,0.2260877,9.899090909090908,43556,8.524284222253355
11.4938,0.2212818,9.822954545454545,43221,8.578286991027179
11.24321,0.2163907,9.890227272727273,43517,8.46724681314981
10.99249,0.2115484,9.8675,43417,8.535935138953636
10.74307,0.2067385,9.825909090909091,43234,8.51942728532375
10.49256,0.2018995,9.877045454545454,43459,8.495975587130328
10.24291,0.1970916,9.838863636363635,43291,8.572154450333647
9.992421,0.1922556,9.835,43274,8.530287787528678
9.741911,0.1874349,9.879090909090909,43468,8.500117936227573
9.492734,0.1826319,9.823863636363637,43225,8.583634113029152
9.242027,0.1778057,9.877727272727272,43462,8.46368875003313
8.992491,0.1730059,9.896818181818182,43546,8.480832970548214
8.741966,0.168186,9.864772727272728,43405,8.537115306981711
8.491519,0.1633664,9.857727272727272,43374,8.506675794540172
8.242025,0.1585695,9.912954545454545,43617,8.512956356540833
7.991459,0.1537524,9.877954545454546,43463,8.500179756322852
7.740795,0.1489336,9.843181818181819,43310,8.521595008724912
7.491405,0.1441368,9.869318181818182,43425,8.533611064324795
7.240743,0.139323,9.823863636363637,43225,8.570356945903516
6.991454,0.1345285,9.8925,43527,8.545788285770035
6.740733,0.1297135,9.874318181818182,43447,8.55351266155313
6.489982,0.1248946,9.825909090909091,43234,8.57333971715993
6.240808,0.1201052,9.902272727272727,43570,8.504652143021957
5.990419,0.1152986,9.849545454545455,43338,8.567471883239927
5.740996,0.1105098,9.847272727272728,43328,8.562536518310456
5.490579,0.1057028,9.87,43428,8.475444747102088
5.240102,0.1009009,9.877045454545454,43459,8.533756897829305
4.990879,0.09611243,9.858636363636364,43378,8.47334780918911
4.740423,0.09130567,9.867727272727272,43418,8.515147674385132
4.489961,0.08649951,9.850454545454545,43342,8.578101347197833
4.240539,0.08171267,9.879090909090909,43468,8.537956209626152
3.990131,0.07690154,9.89340909090909,43531,8.480374906172813
3.74093,0.07211625,9.863181818181818,43398,8.55326127829666
3.490296,0.06730041,9.897045454545454,43547,8.44242659268352
3.239967,0.06248982,9.923409090909091,43663,8.423498589415809
2.990635,0.05769929,9.881136363636363,43477,8.51751372655695
2.740159,0.0528906,9.911363636363637,43610,8.460276312234834
2.490888,0.0480928,9.883181818181818,43486,8.468146953769551
2.240343,0.04328363,9.867954545454545,43419,8.497601926535411
1.990022,0.03846988,9.888409090909091,43509,8.44606273552309
1.740664,0.03367613,9.880227272727273,43473,8.523496462175824
1.490227,0.02886268,9.907954545454546,43595,8.407889180316255
1.239967,0.024045,9.905909090909091,43586,8.394632975391255
0.9904295,0.01924586,10.045227272727272,44199,8.211816998702247
0.7399764,0.01442658,10.082727272727272,44364,8.250030092793892
0.490752,0.009631014,10.152045454545455,44669,8.067701488175995
0.2402786,0.004809435,10.136136363636364,44599,8.144659054503528
-0.009726343,7.38202e-06,10.137954545454546,44607,8.154900553245849
0.009844477,7.411787e-06,10.179772727272727,44791,8.148374870457422
-0.2400602,0.00479208,10.182727272727274,44804,8.071817172574445
-0.4907161,0.009615922,10.183181818181819,44806,8.10451683296935
-0.7398542,0.01440124,10.212727272727273,44936,8.081501073956666
-0.9903675,0.01920496,10.256363636363636,45128,8.091052611901283
-1.239754,0.02400258,10.198181818181817,44872,8.148038615660104
-1.490047,0.02881806,10.260909090909092,45148,8.130370905108247
-1.740504,0.0336263,10.238863636363636,45051,8.07253673389655
-1.989864,0.03845017,10.218863636363636,44963,8.16391714412328
-2.24015,0.04329843,10.2575,45133,8.124023799073527
-2.49073,0.04812783,10.215,44946,8.192847652520678
-2.74004,0.05293129,10.278409090909092,45225,8.148603342307602
-2.990438,0.0577423,10.358409090909092,45577,8.052816194052303
-3.23983,0.06253182,10.279318181818182,45229,8.185989680709922
-3.490221,0.06734,10.287045454545455,45263,8.131931358767892
-3.740834,0.07215607,10.357954545454545,45575,8.092878238511789
-3.989974,0.07694075,10.306136363636364,45347,8.208085194259306
-4.240437,0.08174955,10.336136363636363,45479,8.14878443557403
-4.489918,0.08655149,10.327954545454546,45443,8.191542454844281
-4.740253,0.09137578,10.324545454545454,45428,8.162365607925485
-4.990714,0.09620146,10.348181818181818,45532,8.188237818297688
-5.240063,0.1010038,10.333409090909091,45467,8.149996163778777
-5.490466,0.1058375,10.314772727272727,45385,8.172902896413472
-5.740786,0.1106596,10.33909090909091,45492,8.12064011954183
-5.990315,0.11546,10.336136363636363,45479,8.151543399159989
-6.240668,0.120272,10.3075,45353,8.17987877547998
-6.48987,0.1250682,10.384545454545455,45692,8.153477224186263
-6.740541,0.1298905,10.329772727272728,45451,8.22703739409097
-6.991205,0.1347309,10.351590909090909,45547,8.166877575222122
-7.240553,0.1395373,10.31409090909091,45382,8.18849396107351
-7.491145,0.1443595,10.282045454545454,45241,8.206417645667095
-7.740531,0.14916,10.335,45474,8.18758484308957
-7.991212,0.154029,10.327954545454546,45443,8.156816553685687
-8.241844,0.1588619,10.31090909090909,45368,8.187002916864643
-8.491291,0.1636758,10.338181818181818,45488,8.172424960732535
-8.741793,0.1685104,10.348636363636365,45534,8.17037459048352
-8.992321,0.1736704,10.305,45342,8.202714661542238
-9.241745,0.1781859,10.3225,45419,8.205075932496461
-9.492438,0.1830355,10.302045454545455,45329,8.214325760541785
-9.741755,0.1878321,10.303181818181818,45334,8.209096552368518
-9.992227,0.1925976,10.327272727272728,45440,8.20640374022441
-10.24276,0.1971045,10.2525,45111,8.245312464865698
-10.49232,0.201639,10.298409090909091,45313,8.214917064285254
-10.74284,0.2066907,10.351818181818182,45548,8.129228343662893
-10.99231,0.2116904,10.2975,45309,8.19896729773102
-11.24304,0.2164762,10.30090909090909,45324,8.191079130461704
-11.49358,0.2213073,10.342727272727272,45508,8.114585334653853
-11.74282,0.2260144,10.270227272727272,45189,8.216863423225918
-11.99362,0.2309072,10.306818181818182,45350,8.205694856931228
-12.24396,0.2358633,10.32840909090909,45445,8.16083472379098
-12.49345,0.2407562,10.281363636363636,45238,8.226934099539456
-12.74416,0.245451,10.358863636363637,45579,8.158224823756711
-12.99354,0.2505408,10.31,45364,8.18370461729135
-13.24413,0.2552875,10.252954545454546,45113,8.212898122638443
-13.4947,0.2599105,10.3375,45485,8.138364619083685
-13.74409,0.2647467,10.295681818181817,45301,8.210266301860102
-13.99473,0.2695452,10.32,45408,8.195112015065934
-14.24404,0.2742847,10.342954545454546,45509,8.181866425538455
-14.49472,0.2790562,10.315227272727272,45387,8.222701032900625
-14.74518,0.2837542,10.291136363636364,45281,8.177181089042948
-14.74524,0.2837687,10.310454545454546,45366,8.238328808798892
-14.49488,0.2788402,10.300227272727273,45321,8.257560233262481
-14.24423,0.2737507,10.293863636363636,45293,8.1959187064094
-13.99494,0.2689321,10.287272727272727,45264,8.246578884526091
-13.74423,0.2641492,10.257727272727273,45134,8.253547895628756
-13.49476,0.2593203,10.323636363636364,45424,8.25230466422865
-13.2443,0.2544641,10.30409090909091,45338,8.194538397518325
-12.99363,0.2496341,10.280454545454546,45234,8.247648068226846
-12.7444,0.2448237,10.343636363636364,45512,8.203235528675009
-12.49367,0.2399909,10.286136363636365,45259,8.263248492755082
-12.24415,0.2352314,10.235,45034,8.286451410530281
-11.99385,0.2303829,10.292272727272728,45286,8.239712746341649
-11.7431,0.225563,10.256590909090908,45129,8.280611109506905
-11.49382,0.2207998,10.290681818181818,45279,8.187650554029394
-11.24322,0.2160081,10.36590909090909,45610,8.182843391683601
-10.99244,0.2111862,10.28340909090909,45247,8.294869757751277
-10.74312,0.2064133,10.276818181818182,45218,8.234699497258308
-10.49242,0.2015686,10.392045454545455,45725,8.148927640392756
-10.24295,0.1967867,10.290909090909091,45280,8.20798339825384
-9.992213,0.191956,10.279318181818182,45229,8.214125566591015
-9.741895,0.1871327,10.331136363636364,45457,8.200382486263873
-9.492701,0.182367,10.285,45254,8.241936500121936
