# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=728, upper_left_y_pixels=1380, lower_right_x_pixels=1031, lower_right_y_pixels=1683)
# Real ROI: (20, 25, 50, 60)
# Images averaged: 20
# Time elapsed: 959.9521844387054
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.0100009,1.943776e-05,8.537478991596638,50798,9.444498321927284
0.4906143,0.008694269,8.493109243697479,50534,9.48477150909578
0.9902779,0.01724128,8.486890756302522,50497,9.512433816221778
1.490025,0.02580677,8.451428571428572,50286,9.558755176883537
1.989752,0.03367131,8.478151260504202,50445,9.501418819912121
2.490685,0.03942529,8.481680672268908,50466,9.534589831551092
2.990348,0.04693533,8.459495798319328,50334,9.531323046335462
3.490133,0.05383192,8.417478991596639,50084,9.53897403636424
3.989902,0.06304286,8.430084033613445,50159,9.534904377707521
4.489634,0.08280192,8.414285714285715,50065,9.598666161682342
4.990522,0.09414808,8.410084033613446,50040,9.630348762412883
5.490302,0.1021276,8.401176470588235,49987,9.569045908310578
5.990222,0.1123686,8.398319327731093,49970,9.6222732835551
6.489699,0.1218707,8.4109243697479,50045,9.537546352495706
6.990987,0.1324812,8.409243697478992,50035,9.545785819711394
7.491074,0.1422117,8.389243697478992,49916,9.58969918202823
7.990888,0.1515549,8.353613445378151,49704,9.557740812925436
8.491035,0.1610188,8.399495798319327,49977,9.634471996820732
8.992089,0.1706704,8.36436974789916,49768,9.630020893043778
9.492233,0.1800399,8.385042016806723,49891,9.607205595845235
9.992102,0.1898193,8.369915966386555,49801,9.510272609562413
10.49193,0.1990898,8.398487394957984,49971,9.537844205146653
10.99202,0.2057068,8.395126050420169,49951,9.552953048142106
11.49332,0.2153868,8.406890756302522,50021,9.566694450222021
11.99315,0.2244835,8.347563025210084,49668,9.547250705004632
12.49317,0.2336346,8.371596638655463,49811,9.594814673538446
12.99305,0.2421046,8.406050420168068,50016,9.599906587956378
13.49424,0.2526806,8.374789915966387,49830,9.566083848083696
13.99448,0.2615095,8.39781512605042,49967,9.581780620122657
14.49418,0.2710344,8.379159663865547,49856,9.612079055229142
14.99431,0.2804881,8.412268907563025,50053,9.54684020258443
15.49524,0.2881677,8.369915966386555,49801,9.55479724760171
15.99525,0.3008914,8.381176470588235,49868,9.64691647300385
16.49512,0.3088665,8.371764705882352,49812,9.61127229858866
16.99484,0.3177698,8.351932773109244,49694,9.605593499283751
17.49453,0.3279162,8.375126050420167,49832,9.590036058810385
17.99523,0.3375765,8.361512605042018,49751,9.588721992678709
18.49546,0.3466016,8.393109243697479,49939,9.558047025116151
18.99505,0.356355,8.39327731092437,49940,9.56058109722303
19.49456,0.3654207,8.38453781512605,49888,9.556714157285818
19.99553,0.3750636,8.37983193277311,49860,9.534303893507113
20.49518,0.3838959,8.406890756302522,50021,9.553201546507763
