# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=748, upper_left_y_pixels=1348, lower_right_x_pixels=1051, lower_right_y_pixels=1651)
# Real ROI: (30, 35, 30, 40)
# Images averaged: 20
# Time elapsed: 328.8156988620758
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009997645,1.306756e-05,2760.0822222222223,12420370,9.035361946633078
0.4905459,0.009577343,2755.413777777778,12399362,8.931532210073755
0.9901215,0.01919958,2733.213333333333,12299460,8.967462249446164
1.489847,0.02879344,2769.9864444444443,12464939,8.977691377038859
1.989762,0.03831738,2749.7573333333335,12373908,9.011241342367283
2.490639,0.04800591,2761.102,12424959,9.05462101993293
2.990282,0.05760287,2741.6755555555555,12337540,8.980419365305188
3.490062,0.0671878,2750.173333333333,12375780,9.104019053407779
3.989808,0.07678223,2741.620888888889,12337294,8.961857303981013
4.489658,0.08627179,2768.872444444444,12459926,9.106239670927211
4.990503,0.09598979,2752.364888888889,12385642,9.048152701347668
5.490146,0.1055489,2742.608222222222,12341737,9.078420498804466
5.990033,0.1151716,2751.6588888888887,12382465,9.095034123312388
6.489568,0.1247592,2719.9515555555554,12239782,9.022774670448618
6.991093,0.1343451,2739.564,12328038,9.061620346788997
7.490976,0.1439937,2736.9335555555554,12316201,9.01359589899085
7.990871,0.1535168,2743.0233333333335,12343605,9.018594401279511
8.490985,0.1631909,2708.897111111111,12190037,8.93872208038914
8.991961,0.1728031,2777.4893333333334,12498702,8.98598589351018
9.492241,0.1823962,2727.6366666666668,12274365,9.001591539941344
9.992063,0.1919691,2726.8186666666666,12270684,8.932697841517976
10.49203,0.2015695,2749.7671111111113,12373952,9.0190043375381
10.99216,0.2113229,2739.1646666666666,12326241,8.998956644098246
11.49328,0.2209712,2742.5124444444446,12341306,8.978100838574917
11.99339,0.2305737,2743.9575555555557,12347809,8.996811116240483
12.49328,0.2401613,2735.507111111111,12309782,9.015570169465526
12.9931,0.2496239,2718.2762222222223,12232243,8.913969555877472
13.49436,0.2593608,2755.372888888889,12399178,8.986220242608944
13.99448,0.2691427,2718.697777777778,12234140,8.921431317577838
14.49458,0.2787564,2723.4997777777776,12255749,9.031697039085227
14.99445,0.2883127,2734.5326666666665,12305397,8.981747389846936
15.49567,0.2977972,2756.9268888888887,12406171,8.962329455234354
15.99531,0.3074038,2738.246888888889,12322111,8.865197725373447
16.49503,0.316797,2738.9084444444443,12325088,8.91728260629008
16.99495,0.326396,2734.626222222222,12305818,9.026107478232554
17.49469,0.3358628,2706.835777777778,12180761,8.996309257008908
17.99538,0.3452536,2754.550222222222,12395476,8.897828488319778
18.4953,0.3555849,2729.251111111111,12281630,8.970356359010847
18.99497,0.3651908,2742.9913333333334,12343461,8.958399705126862
19.49474,0.3746496,2727.8664444444444,12275399,8.988472207864326
19.99545,0.3842878,2732.5028888888887,12296263,8.966885697592023
20.49538,0.3936232,2737.978888888889,12320905,8.948268339789529
20.99519,0.4029827,2734.6497777777777,12305924,8.928264414003605
21.49468,0.4122902,2729.510222222222,12282796,9.03892256516237
21.99576,0.4215354,2716.4604444444444,12224072,8.907017483452211
22.49549,0.4308563,2744.219111111111,12348986,8.947374586803466
22.99517,0.4401023,2726.4757777777777,12269141,8.852820999053227
23.4951,0.4493315,2742.589111111111,12341651,8.91583196579715
23.9955,0.4585529,2731.0222222222224,12289600,8.987316136032055
24.49553,0.4676315,2735.2882222222224,12308797,8.942138936689663
24.99523,0.4768417,2730.438,12286971,8.878194155438077
25.495,0.4858637,2746.0333333333333,12357150,8.930796151346854
25.99487,0.4950085,2742.1764444444443,12339794,8.990773272281682
26.49547,0.5039227,2731.6255555555554,12292315,8.991424263682564
26.99531,0.513073,2749.3977777777777,12372290,8.995228643739962
27.49519,0.5221626,2726.66,12269970,8.847188496859285
27.99478,0.5310214,2753.0553333333332,12388749,9.009256361646894
28.49578,0.5396553,2738.248666666667,12322119,8.97664600139806
28.99518,0.5487943,2733.7522222222224,12301885,8.905974688281779
29.49523,0.5575342,2734.714,12306213,8.886482902139852
29.99504,0.5663901,2762.4391111111113,12430976,8.890158036231057
30.49582,0.5751178,2727.3237777777777,12272957,8.902374156317029
30.99552,0.5840966,2750.062,12375279,9.048100800759858
31.49507,0.5928035,2745.0755555555556,12352840,8.991661541299452
31.99506,0.6012604,2718.3935555555554,12232771,8.934211524419679
32.496,0.609881,2752.7657777777777,12387446,8.941787454055342
32.99548,0.6184104,2747.864666666667,12365391,9.002868376028346
33.49549,0.626972,2738.945333333333,12325254,8.898569441280575
33.99492,0.6353404,2725.9557777777777,12266801,9.052032238009085
34.49583,0.6437751,2758.536888888889,12413416,8.92358500046453
34.99574,0.6522433,2732.9686666666666,12298359,8.942743335817289
35.49514,0.6605389,2718.1764444444443,12231794,9.049214796751881
34.99606,0.6502634,2744.287333333333,12349293,8.960163880101673
34.49636,0.6400356,2731.7946666666667,12293076,8.973361747747356
33.99539,0.6298778,2725.918,12266631,8.899816642219225
33.49575,0.6197966,2754.3135555555555,12394411,8.95237155162903
32.996,0.6098689,2731.9157777777777,12293621,8.910587642286371
32.49631,0.599881,2731.722222222222,12292750,9.048038496318572
31.99543,0.5900688,2764.7184444444442,12441233,8.885331524037154
31.49565,0.5802162,2730.7824444444445,12288521,9.014793431878896
30.9961,0.5704791,2733.269111111111,12299711,8.958336178290155
30.4962,0.5607825,2742.32,12340440,8.992344958906731
29.99529,0.5511156,2732.6891111111113,12297101,8.90847687397763
29.49581,0.54152,2726.1004444444443,12267452,8.887989484985138
28.99576,0.5319757,2756.6704444444445,12405017,8.946324592234818
28.49631,0.5225098,2733.1793333333335,12299307,8.937934284377969
27.99532,0.5131124,2737.1317777777776,12317093,9.044012510831209
27.49559,0.5036016,2755.0126666666665,12397557,8.879816871051448
26.99601,0.4942856,2732.2364444444443,12295064,9.000320668944582
26.49608,0.4848669,2738.4515555555554,12323032,8.86744847875423
25.99541,0.4755346,2740.8726666666666,12333927,9.028635791900774
25.49554,0.4663262,2739.2946666666667,12326826,8.975622465053636
24.9956,0.4569713,2726.4482222222223,12269017,8.892549325927902
24.49601,0.447799,2748.9553333333333,12370299,8.95752121346209
23.99611,0.4385082,2735.9268888888887,12311671,8.948787321129457
23.49561,0.4292947,2721.884666666667,12248481,8.932271624366928
22.99563,0.4201638,2746.160888888889,12357724,8.93963170399537
22.49593,0.4109498,2721.404666666667,12246321,8.973806512742811
21.99634,0.401855,2742.2162222222223,12339973,8.93104745788556
21.49529,0.3926504,2754.608888888889,12395740,8.963538239631196
20.99579,0.3835382,2736.9273333333335,12316173,8.972978571492286
20.49574,0.3744744,2729.7851111111113,12284033,8.90598554177122
19.99615,0.3653247,2752.5008888888888,12386254,8.950136554307939
19.49535,0.3562563,2730.118,12285531,8.942334644996352
18.99553,0.3471382,2720.953111111111,12244289,8.901438609934246
18.49595,0.3380646,2732.4015555555557,12295807,8.992529724009884
17.99575,0.32906,2727.728666666667,12274779,8.978056707695924
