# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=748, upper_left_y_pixels=1348, lower_right_x_pixels=1051, lower_right_y_pixels=1651)
# Real ROI: (30, 35, 30, 40)
# Images averaged: 50
# Time elapsed: 384.3155462741852
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009898249,1.660987e-05,2680.7424444444446,12063341,8.978442826537007
2.990138,0.05483552,2679.016888888889,12055576,8.9190911980972
5.989854,0.1097489,2698.2697777777776,12142214,8.965928564940134
8.991606,0.1648267,2687.544,12093948,8.895398291427002
11.99223,0.2199894,2685.548222222222,12084967,8.884496372959223
14.99306,0.2751106,2673.4306666666666,12030438,8.938328714184019
17.99495,0.3301693,2690.7646666666665,12108441,8.968600768112458
20.99466,0.3853912,2695.8175555555554,12131179,8.927262381378009
23.99511,0.4405188,2684.0266666666666,12078120,8.943339848921472
26.99482,0.4952941,2682.554,12071493,8.965477062051562
29.99448,0.5487197,2690.1075555555553,12105484,8.970222122605367
32.99416,0.6017318,2705.6755555555555,12175540,8.923676165334257
35.9934,0.6544502,2693.188,12119346,8.960791605707639
32.99664,0.5978314,2692.846666666667,12117810,8.956960203242984
29.99582,0.5412727,2690.104,12105468,8.99376283905355
26.99621,0.4870397,2709.147111111111,12191162,8.91420433772208
23.99663,0.431688,2697.375111111111,12138188,8.959245724700068
20.99606,0.3771839,2701.2784444444446,12155753,9.001561084961255
17.99627,0.3234456,2699.5655555555554,12148045,8.961526017178917
14.99623,0.2696826,2708.488888888889,12188200,8.9630011354413
11.99484,0.2158877,2710.6897777777776,12198104,8.955039200967459
8.992926,0.1620352,2696.5144444444445,12134315,8.997266058913699
5.991149,0.1080874,2702.6677777777777,12162005,8.939318340015133
2.991534,0.05412004,2714.3257777777776,12214466,8.927291235570326
-0.009230177,1.413918e-05,2712.338888888889,12205525,9.009676646179955
-0.009852624,1.64908e-05,2706.670888888889,12180019,9.023197865000869
2.989501,0.0544818,2733.5633333333335,12301035,8.99106055153992
5.98938,0.1090391,2703.753111111111,12166889,8.96491444202416
8.991066,0.163795,2718.583777777778,12233627,8.963006632352911
11.99265,0.2186272,2717.1895555555557,12227353,9.010855973860973
14.99377,0.2734646,2725.574888888889,12265087,8.90877805811687
17.99486,0.3285832,2730.0535555555557,12285241,9.004935312806115
20.99476,0.383685,2706.978666666667,12181404,9.034758833678584
23.99542,0.4379824,2718.130222222222,12231586,8.973730611597425
26.99397,0.4916866,2733.045111111111,12298703,8.967151282766599
29.99352,0.5454214,2730.2684444444444,12286208,8.998812831595588
32.99409,0.59869,2727.4862222222223,12273688,9.020220899155794
35.99448,0.6512021,2715.372888888889,12219178,8.97912285225504
32.9963,0.5950874,2720.0035555555555,12240016,9.003574308724271
29.99566,0.5395912,2725.8302222222223,12266236,9.02096100602558
26.99617,0.484854,2727.1366666666668,12272115,8.995112552369736
23.99755,0.4305305,2725.208,12263436,8.969906173776167
20.99665,0.376535,2730.5144444444445,12287315,8.920303072617038
17.9974,0.3227711,2735.2784444444446,12308753,9.049444380641967
14.99565,0.2690282,2730.4133333333334,12286860,9.02952485213502
11.99404,0.2153123,2728.1633333333334,12276735,8.93433992901713
8.992917,0.1615617,2728.195111111111,12276878,8.962749632732695
5.990917,0.1077584,2726.1793333333335,12267807,9.024441144173158
2.991238,0.05394519,2739.9704444444446,12329867,8.981886625953248
-0.008161261,1.29485e-05,2730.9553333333333,12289299,8.949665949341147
-0.009833071,1.616336e-05,2733.5866666666666,12301140,8.980352428763107
2.989173,0.05421893,2745.6644444444446,12355490,8.98007864955141
5.98928,0.1085473,2747.8795555555557,12365458,9.025508935726236
8.991231,0.1631,2733.425777777778,12300416,9.01934174403628
11.99215,0.2177252,2734.2384444444447,12304073,8.935378659982279
14.99368,0.2724474,2752.336222222222,12385513,9.01731632036148
17.99489,0.3272029,2744.043111111111,12348194,9.021662805507468
20.99492,0.3818865,2750.1342222222224,12375604,8.960023095492872
23.99542,0.4369005,2745.4302222222223,12354436,8.940486782325014
26.99495,0.491093,2745.583777777778,12355127,9.059908278210735
29.99356,0.5447382,2737.5144444444445,12318815,8.974529823123568
32.99413,0.5982409,2744.8142222222223,12351664,9.000057407216499
35.99434,0.6508502,2752.647111111111,12386912,9.018656565363184
