# Exposure time (ms): 2
# Camera ROI: ROI(upper_left_x_pixels=788, upper_left_y_pixels=1408, lower_right_x_pixels=1091, lower_right_y_pixels=1711)
# Real ROI: (20, 25, 45, 65)
# Images averaged: 20
# Time elapsed: 875.5786345005035
Voltage (V),Current (A),Average Intensity,Total Intensity,SNR (dB)
-0.009920247,2.053682e-06,19.488205128205127,114006,8.077098028041892
0.4907381,0.00968912,19.337948717948716,113127,8.105761439208525
0.9902909,0.01946364,19.34905982905983,113192,8.106831632807092
1.489954,0.02913719,19.31880341880342,113015,8.093692072923433
1.989864,0.03891958,19.333162393162393,113099,8.113633532695657
2.490655,0.04867103,19.252136752136753,112625,8.084281195503937
2.990366,0.05839486,19.31042735042735,112966,8.160268661635115
3.490129,0.06812386,19.186666666666667,112242,8.114927079949815
3.989763,0.07776232,19.21931623931624,112433,8.144027447600905
4.489729,0.08758325,19.252307692307692,112626,8.159357199375046
4.990427,0.0973294,19.144615384615385,111996,8.17902762012478
5.490321,0.1069862,19.0991452991453,111730,8.211911069799969
5.99014,0.1167764,19.216239316239317,112415,8.158783504521072
6.489621,0.1264027,19.24923076923077,112608,8.16652763652344
6.99121,0.136259,19.13965811965812,111967,8.155633445894669
7.491011,0.1459654,19.30837606837607,112954,8.143594575676973
7.99113,0.1555945,19.14854700854701,112019,8.176932926412517
8.491184,0.1654121,19.202735042735043,112336,8.165132353428099
8.992067,0.1750807,19.13059829059829,111914,8.145387993723913
9.492263,0.1848491,19.20068376068376,112324,8.171214572646916
9.992053,0.194477,19.21145299145299,112387,8.118703207381317
10.49222,0.2040904,19.283418803418805,112808,8.100261944880064
10.99221,0.2138541,19.19025641025641,112263,8.117387222901467
11.4934,0.2234845,19.156239316239315,112064,8.083078667349197
11.99361,0.233209,19.32837606837607,113071,8.123311285105824
12.49333,0.2428692,19.188034188034187,112250,8.076352564027019
12.99352,0.252248,19.175213675213676,112175,8.08477698267254
13.49455,0.2617382,19.22940170940171,112492,8.07455190268218
13.99447,0.2713738,19.153675213675214,112049,8.154918369194041
14.49469,0.2809606,19.224273504273505,112462,8.066967074072474
14.99438,0.2906282,19.30136752136752,112913,8.089305304165785
15.49561,0.3002011,19.13162393162393,111920,8.12258394834773
15.99523,0.3097131,19.177094017094017,112186,8.11833796576406
16.49505,0.319303,19.306495726495726,112943,8.0917918071046
16.99491,0.3287411,19.167521367521367,112130,8.105954675998063
17.49446,0.3383247,19.13059829059829,111914,8.146338022201675
17.99535,0.3476807,19.314188034188035,112988,8.066270927251223
18.49532,0.3571493,19.253162393162395,112631,8.102535162971172
18.99487,0.3669501,19.171282051282052,112152,8.098269238857501
